"","code_state","domicilios","residentes","cid","obitos"
"1",12,190621,729305,"A047",2
"2",12,190621,729305,"A049",2
"3",12,190621,729305,"A085",1
"4",12,190621,729305,"A09",13
"5",12,190621,729305,"A151",1
"6",12,190621,729305,"A153",3
"7",12,190621,729305,"A159",3
"8",12,190621,729305,"A160",1
"9",12,190621,729305,"A161",1
"10",12,190621,729305,"A162",21
"11",12,190621,729305,"A180",1
"12",12,190621,729305,"A199",1
"13",12,190621,729305,"A319",1
"14",12,190621,729305,"A35",1
"15",12,190621,729305,"A403",1
"16",12,190621,729305,"A418",25
"17",12,190621,729305,"A419",41
"18",12,190621,729305,"A46",7
"19",12,190621,729305,"A502",4
"20",12,190621,729305,"A509",1
"21",12,190621,729305,"A86",1
"22",12,190621,729305,"A879",2
"23",12,190621,729305,"A91",3
"24",12,190621,729305,"A985",1
"25",12,190621,729305,"B012",1
"26",12,190621,729305,"B029",1
"27",12,190621,729305,"B160",1
"28",12,190621,729305,"B161",1
"29",12,190621,729305,"B162",2
"30",12,190621,729305,"B169",6
"31",12,190621,729305,"B170",1
"32",12,190621,729305,"B171",6
"33",12,190621,729305,"B180",1
"34",12,190621,729305,"B181",8
"35",12,190621,729305,"B182",5
"36",12,190621,729305,"B189",2
"37",12,190621,729305,"B199",2
"38",12,190621,729305,"B200",1
"39",12,190621,729305,"B201",1
"40",12,190621,729305,"B206",1
"41",12,190621,729305,"B207",3
"42",12,190621,729305,"B209",1
"43",12,190621,729305,"B217",1
"44",12,190621,729305,"B227",2
"45",12,190621,729305,"B232",1
"46",12,190621,729305,"B24",2
"47",12,190621,729305,"B259",1
"48",12,190621,729305,"B342",167
"49",12,190621,729305,"B480",1
"50",12,190621,729305,"B500",1
"51",12,190621,729305,"B518",1
"52",12,190621,729305,"B572",1
"53",12,190621,729305,"B948",5
"54",12,190621,729305,"C028",1
"55",12,190621,729305,"C029",2
"56",12,190621,729305,"C060",1
"57",12,190621,729305,"C069",2
"58",12,190621,729305,"C07",2
"59",12,190621,729305,"C109",6
"60",12,190621,729305,"C119",2
"61",12,190621,729305,"C139",3
"62",12,190621,729305,"C140",3
"63",12,190621,729305,"C150",2
"64",12,190621,729305,"C159",14
"65",12,190621,729305,"C160",1
"66",12,190621,729305,"C161",2
"67",12,190621,729305,"C168",2
"68",12,190621,729305,"C169",46
"69",12,190621,729305,"C170",2
"70",12,190621,729305,"C178",1
"71",12,190621,729305,"C179",4
"72",12,190621,729305,"C184",1
"73",12,190621,729305,"C187",2
"74",12,190621,729305,"C188",1
"75",12,190621,729305,"C189",14
"76",12,190621,729305,"C20",11
"77",12,190621,729305,"C210",1
"78",12,190621,729305,"C211",3
"79",12,190621,729305,"C218",3
"80",12,190621,729305,"C220",9
"81",12,190621,729305,"C221",2
"82",12,190621,729305,"C222",1
"83",12,190621,729305,"C229",30
"84",12,190621,729305,"C240",3
"85",12,190621,729305,"C249",4
"86",12,190621,729305,"C250",3
"87",12,190621,729305,"C251",2
"88",12,190621,729305,"C258",1
"89",12,190621,729305,"C259",16
"90",12,190621,729305,"C260",2
"91",12,190621,729305,"C269",1
"92",12,190621,729305,"C320",1
"93",12,190621,729305,"C328",2
"94",12,190621,729305,"C329",10
"95",12,190621,729305,"C340",1
"96",12,190621,729305,"C341",5
"97",12,190621,729305,"C342",1
"98",12,190621,729305,"C343",1
"99",12,190621,729305,"C349",78
"100",12,190621,729305,"C410",1
"101",12,190621,729305,"C412",2
"102",12,190621,729305,"C414",1
"103",12,190621,729305,"C419",4
"104",12,190621,729305,"C439",1
"105",12,190621,729305,"C443",3
"106",12,190621,729305,"C444",1
"107",12,190621,729305,"C448",2
"108",12,190621,729305,"C449",5
"109",12,190621,729305,"C480",2
"110",12,190621,729305,"C482",4
"111",12,190621,729305,"C492",1
"112",12,190621,729305,"C499",8
"113",12,190621,729305,"C501",1
"114",12,190621,729305,"C508",2
"115",12,190621,729305,"C509",33
"116",12,190621,729305,"C530",1
"117",12,190621,729305,"C531",2
"118",12,190621,729305,"C538",8
"119",12,190621,729305,"C539",35
"120",12,190621,729305,"C541",2
"121",12,190621,729305,"C549",1
"122",12,190621,729305,"C56",9
"123",12,190621,729305,"C608",1
"124",12,190621,729305,"C609",1
"125",12,190621,729305,"C61",28
"126",12,190621,729305,"C629",4
"127",12,190621,729305,"C639",1
"128",12,190621,729305,"C64",3
"129",12,190621,729305,"C670",1
"130",12,190621,729305,"C679",7
"131",12,190621,729305,"C689",3
"132",12,190621,729305,"C691",1
"133",12,190621,729305,"C696",1
"134",12,190621,729305,"C710",16
"135",12,190621,729305,"C718",1
"136",12,190621,729305,"C719",13
"137",12,190621,729305,"C725",1
"138",12,190621,729305,"C73",2
"139",12,190621,729305,"C751",1
"140",12,190621,729305,"C760",1
"141",12,190621,729305,"C761",1
"142",12,190621,729305,"C762",3
"143",12,190621,729305,"C767",1
"144",12,190621,729305,"C768",1
"145",12,190621,729305,"C787",1
"146",12,190621,729305,"C788",1
"147",12,190621,729305,"C793",1
"148",12,190621,729305,"C794",1
"149",12,190621,729305,"C798",1
"150",12,190621,729305,"C80",7
"151",12,190621,729305,"C830",1
"152",12,190621,729305,"C837",1
"153",12,190621,729305,"C859",3
"154",12,190621,729305,"C900",6
"155",12,190621,729305,"C902",1
"156",12,190621,729305,"C910",5
"157",12,190621,729305,"C920",6
"158",12,190621,729305,"C921",1
"159",12,190621,729305,"C922",1
"160",12,190621,729305,"C959",4
"161",12,190621,729305,"D136",1
"162",12,190621,729305,"D259",1
"163",12,190621,729305,"D376",1
"164",12,190621,729305,"D381",2
"165",12,190621,729305,"D390",1
"166",12,190621,729305,"D430",1
"167",12,190621,729305,"D432",1
"168",12,190621,729305,"D437",1
"169",12,190621,729305,"D439",2
"170",12,190621,729305,"D440",1
"171",12,190621,729305,"D464",1
"172",12,190621,729305,"D479",1
"173",12,190621,729305,"D480",1
"174",12,190621,729305,"D489",1
"175",12,190621,729305,"D500",3
"176",12,190621,729305,"D509",1
"177",12,190621,729305,"D530",1
"178",12,190621,729305,"D571",1
"179",12,190621,729305,"D593",1
"180",12,190621,729305,"D599",1
"181",12,190621,729305,"D610",2
"182",12,190621,729305,"D619",1
"183",12,190621,729305,"D649",17
"184",12,190621,729305,"D65",1
"185",12,190621,729305,"D689",1
"186",12,190621,729305,"D696",2
"187",12,190621,729305,"D70",1
"188",12,190621,729305,"D762",1
"189",12,190621,729305,"E101",1
"190",12,190621,729305,"E102",1
"191",12,190621,729305,"E104",1
"192",12,190621,729305,"E105",1
"193",12,190621,729305,"E106",1
"194",12,190621,729305,"E107",1
"195",12,190621,729305,"E109",9
"196",12,190621,729305,"E110",1
"197",12,190621,729305,"E112",3
"198",12,190621,729305,"E116",1
"199",12,190621,729305,"E117",5
"200",12,190621,729305,"E118",1
"201",12,190621,729305,"E119",30
"202",12,190621,729305,"E126",6
"203",12,190621,729305,"E127",1
"204",12,190621,729305,"E137",1
"205",12,190621,729305,"E138",1
"206",12,190621,729305,"E141",6
"207",12,190621,729305,"E142",19
"208",12,190621,729305,"E146",2
"209",12,190621,729305,"E147",1
"210",12,190621,729305,"E149",36
"211",12,190621,729305,"E162",1
"212",12,190621,729305,"E232",1
"213",12,190621,729305,"E271",1
"214",12,190621,729305,"E43",31
"215",12,190621,729305,"E440",8
"216",12,190621,729305,"E46",8
"217",12,190621,729305,"E649",1
"218",12,190621,729305,"E660",3
"219",12,190621,729305,"E669",11
"220",12,190621,729305,"E789",1
"221",12,190621,729305,"E835",3
"222",12,190621,729305,"E840",1
"223",12,190621,729305,"E86",2
"224",12,190621,729305,"E872",10
"225",12,190621,729305,"E874",1
"226",12,190621,729305,"E876",1
"227",12,190621,729305,"E878",12
"228",12,190621,729305,"F019",1
"229",12,190621,729305,"F03",2
"230",12,190621,729305,"F051",1
"231",12,190621,729305,"F102",5
"232",12,190621,729305,"F109",6
"233",12,190621,729305,"F172",1
"234",12,190621,729305,"F179",1
"235",12,190621,729305,"F192",1
"236",12,190621,729305,"F199",2
"237",12,190621,729305,"F202",1
"238",12,190621,729305,"F29",1
"239",12,190621,729305,"F322",1
"240",12,190621,729305,"G039",2
"241",12,190621,729305,"G049",1
"242",12,190621,729305,"G120",1
"243",12,190621,729305,"G122",1
"244",12,190621,729305,"G20",7
"245",12,190621,729305,"G301",5
"246",12,190621,729305,"G309",27
"247",12,190621,729305,"G312",2
"248",12,190621,729305,"G319",1
"249",12,190621,729305,"G409",5
"250",12,190621,729305,"G410",1
"251",12,190621,729305,"G610",1
"252",12,190621,729305,"G801",1
"253",12,190621,729305,"G809",3
"254",12,190621,729305,"G825",1
"255",12,190621,729305,"G911",2
"256",12,190621,729305,"G919",2
"257",12,190621,729305,"G92",1
"258",12,190621,729305,"G932",1
"259",12,190621,729305,"G933",1
"260",12,190621,729305,"G934",6
"261",12,190621,729305,"G936",1
"262",12,190621,729305,"G939",3
"263",12,190621,729305,"G952",1
"264",12,190621,729305,"I00",1
"265",12,190621,729305,"I019",2
"266",12,190621,729305,"I058",1
"267",12,190621,729305,"I060",2
"268",12,190621,729305,"I083",2
"269",12,190621,729305,"I089",1
"270",12,190621,729305,"I10",87
"271",12,190621,729305,"I110",33
"272",12,190621,729305,"I119",5
"273",12,190621,729305,"I120",11
"274",12,190621,729305,"I130",1
"275",12,190621,729305,"I131",3
"276",12,190621,729305,"I132",4
"277",12,190621,729305,"I200",1
"278",12,190621,729305,"I212",1
"279",12,190621,729305,"I213",3
"280",12,190621,729305,"I214",1
"281",12,190621,729305,"I219",206
"282",12,190621,729305,"I241",1
"283",12,190621,729305,"I249",3
"284",12,190621,729305,"I250",1
"285",12,190621,729305,"I251",5
"286",12,190621,729305,"I255",3
"287",12,190621,729305,"I258",3
"288",12,190621,729305,"I259",6
"289",12,190621,729305,"I260",1
"290",12,190621,729305,"I269",12
"291",12,190621,729305,"I270",1
"292",12,190621,729305,"I279",3
"293",12,190621,729305,"I300",1
"294",12,190621,729305,"I309",1
"295",12,190621,729305,"I313",2
"296",12,190621,729305,"I319",2
"297",12,190621,729305,"I342",1
"298",12,190621,729305,"I350",2
"299",12,190621,729305,"I351",1
"300",12,190621,729305,"I352",1
"301",12,190621,729305,"I38",2
"302",12,190621,729305,"I420",6
"303",12,190621,729305,"I421",1
"304",12,190621,729305,"I422",1
"305",12,190621,729305,"I426",1
"306",12,190621,729305,"I429",6
"307",12,190621,729305,"I443",2
"308",12,190621,729305,"I461",39
"309",12,190621,729305,"I472",1
"310",12,190621,729305,"I48",5
"311",12,190621,729305,"I490",2
"312",12,190621,729305,"I498",2
"313",12,190621,729305,"I499",5
"314",12,190621,729305,"I500",52
"315",12,190621,729305,"I501",1
"316",12,190621,729305,"I509",39
"317",12,190621,729305,"I517",5
"318",12,190621,729305,"I519",7
"319",12,190621,729305,"I606",1
"320",12,190621,729305,"I609",11
"321",12,190621,729305,"I612",1
"322",12,190621,729305,"I613",2
"323",12,190621,729305,"I619",38
"324",12,190621,729305,"I620",1
"325",12,190621,729305,"I634",1
"326",12,190621,729305,"I64",112
"327",12,190621,729305,"I671",3
"328",12,190621,729305,"I678",38
"329",12,190621,729305,"I694",70
"330",12,190621,729305,"I698",3
"331",12,190621,729305,"I710",2
"332",12,190621,729305,"I713",1
"333",12,190621,729305,"I714",3
"334",12,190621,729305,"I719",5
"335",12,190621,729305,"I720",1
"336",12,190621,729305,"I728",1
"337",12,190621,729305,"I729",4
"338",12,190621,729305,"I739",2
"339",12,190621,729305,"I749",1
"340",12,190621,729305,"I779",1
"341",12,190621,729305,"I802",4
"342",12,190621,729305,"I81",1
"343",12,190621,729305,"I820",1
"344",12,190621,729305,"I828",1
"345",12,190621,729305,"I829",3
"346",12,190621,729305,"I859",2
"347",12,190621,729305,"I872",4
"348",12,190621,729305,"J041",1
"349",12,190621,729305,"J09",1
"350",12,190621,729305,"J101",1
"351",12,190621,729305,"J110",7
"352",12,190621,729305,"J111",1
"353",12,190621,729305,"J118",9
"354",12,190621,729305,"J129",3
"355",12,190621,729305,"J150",1
"356",12,190621,729305,"J152",1
"357",12,190621,729305,"J158",1
"358",12,190621,729305,"J159",92
"359",12,190621,729305,"J180",20
"360",12,190621,729305,"J181",2
"361",12,190621,729305,"J188",1
"362",12,190621,729305,"J189",156
"363",12,190621,729305,"J209",2
"364",12,190621,729305,"J219",3
"365",12,190621,729305,"J22",1
"366",12,190621,729305,"J40",1
"367",12,190621,729305,"J410",2
"368",12,190621,729305,"J42",2
"369",12,190621,729305,"J430",1
"370",12,190621,729305,"J431",1
"371",12,190621,729305,"J438",1
"372",12,190621,729305,"J439",10
"373",12,190621,729305,"J440",152
"374",12,190621,729305,"J441",19
"375",12,190621,729305,"J449",41
"376",12,190621,729305,"J450",1
"377",12,190621,729305,"J459",3
"378",12,190621,729305,"J46",1
"379",12,190621,729305,"J678",1
"380",12,190621,729305,"J690",23
"381",12,190621,729305,"J709",1
"382",12,190621,729305,"J80",1
"383",12,190621,729305,"J81",10
"384",12,190621,729305,"J841",9
"385",12,190621,729305,"J849",2
"386",12,190621,729305,"J90",6
"387",12,190621,729305,"J939",2
"388",12,190621,729305,"J942",1
"389",12,190621,729305,"J960",7
"390",12,190621,729305,"J961",1
"391",12,190621,729305,"J969",9
"392",12,190621,729305,"J980",11
"393",12,190621,729305,"J984",2
"394",12,190621,729305,"J988",4
"395",12,190621,729305,"J989",1
"396",12,190621,729305,"K250",1
"397",12,190621,729305,"K251",2
"398",12,190621,729305,"K252",1
"399",12,190621,729305,"K254",1
"400",12,190621,729305,"K271",1
"401",12,190621,729305,"K297",1
"402",12,190621,729305,"K318",1
"403",12,190621,729305,"K402",1
"404",12,190621,729305,"K429",1
"405",12,190621,729305,"K440",1
"406",12,190621,729305,"K449",1
"407",12,190621,729305,"K509",1
"408",12,190621,729305,"K522",1
"409",12,190621,729305,"K550",4
"410",12,190621,729305,"K560",4
"411",12,190621,729305,"K564",4
"412",12,190621,729305,"K565",1
"413",12,190621,729305,"K566",8
"414",12,190621,729305,"K574",1
"415",12,190621,729305,"K579",1
"416",12,190621,729305,"K591",1
"417",12,190621,729305,"K610",1
"418",12,190621,729305,"K625",1
"419",12,190621,729305,"K650",2
"420",12,190621,729305,"K659",5
"421",12,190621,729305,"K700",1
"422",12,190621,729305,"K701",3
"423",12,190621,729305,"K702",1
"424",12,190621,729305,"K703",18
"425",12,190621,729305,"K704",2
"426",12,190621,729305,"K709",3
"427",12,190621,729305,"K711",1
"428",12,190621,729305,"K715",1
"429",12,190621,729305,"K721",1
"430",12,190621,729305,"K729",8
"431",12,190621,729305,"K738",1
"432",12,190621,729305,"K739",7
"433",12,190621,729305,"K740",1
"434",12,190621,729305,"K746",19
"435",12,190621,729305,"K754",1
"436",12,190621,729305,"K764",1
"437",12,190621,729305,"K766",1
"438",12,190621,729305,"K767",1
"439",12,190621,729305,"K768",2
"440",12,190621,729305,"K769",2
"441",12,190621,729305,"K800",1
"442",12,190621,729305,"K801",2
"443",12,190621,729305,"K802",1
"444",12,190621,729305,"K804",1
"445",12,190621,729305,"K805",1
"446",12,190621,729305,"K830",1
"447",12,190621,729305,"K851",1
"448",12,190621,729305,"K859",5
"449",12,190621,729305,"K862",1
"450",12,190621,729305,"K920",9
"451",12,190621,729305,"K921",1
"452",12,190621,729305,"K922",5
"453",12,190621,729305,"K929",1
"454",12,190621,729305,"L010",1
"455",12,190621,729305,"L022",1
"456",12,190621,729305,"L029",1
"457",12,190621,729305,"L033",1
"458",12,190621,729305,"L080",1
"459",12,190621,729305,"L120",1
"460",12,190621,729305,"L309",1
"461",12,190621,729305,"L89",4
"462",12,190621,729305,"L930",1
"463",12,190621,729305,"L984",1
"464",12,190621,729305,"M069",2
"465",12,190621,729305,"M303",1
"466",12,190621,729305,"M321",4
"467",12,190621,729305,"M331",1
"468",12,190621,729305,"M600",1
"469",12,190621,729305,"M623",1
"470",12,190621,729305,"M628",2
"471",12,190621,729305,"M858",1
"472",12,190621,729305,"M861",1
"473",12,190621,729305,"M869",1
"474",12,190621,729305,"N111",1
"475",12,190621,729305,"N12",1
"476",12,190621,729305,"N151",1
"477",12,190621,729305,"N179",33
"478",12,190621,729305,"N180",2
"479",12,190621,729305,"N189",17
"480",12,190621,729305,"N19",15
"481",12,190621,729305,"N202",1
"482",12,190621,729305,"N289",2
"483",12,190621,729305,"N390",21
"484",12,190621,729305,"N40",8
"485",12,190621,729305,"N419",1
"486",12,190621,729305,"N429",2
"487",12,190621,729305,"N498",4
"488",12,190621,729305,"O001",1
"489",12,190621,729305,"O021",1
"490",12,190621,729305,"O149",1
"491",12,190621,729305,"O249",1
"492",12,190621,729305,"O909",1
"493",12,190621,729305,"P000",5
"494",12,190621,729305,"P001",1
"495",12,190621,729305,"P008",1
"496",12,190621,729305,"P011",3
"497",12,190621,729305,"P020",1
"498",12,190621,729305,"P021",4
"499",12,190621,729305,"P027",3
"500",12,190621,729305,"P029",1
"501",12,190621,729305,"P051",4
"502",12,190621,729305,"P072",2
"503",12,190621,729305,"P073",1
"504",12,190621,729305,"P200",1
"505",12,190621,729305,"P210",4
"506",12,190621,729305,"P220",10
"507",12,190621,729305,"P228",2
"508",12,190621,729305,"P229",4
"509",12,190621,729305,"P240",9
"510",12,190621,729305,"P243",1
"511",12,190621,729305,"P268",1
"512",12,190621,729305,"P269",3
"513",12,190621,729305,"P271",1
"514",12,190621,729305,"P283",1
"515",12,190621,729305,"P284",1
"516",12,190621,729305,"P285",2
"517",12,190621,729305,"P290",1
"518",12,190621,729305,"P291",1
"519",12,190621,729305,"P293",1
"520",12,190621,729305,"P369",27
"521",12,190621,729305,"P371",1
"522",12,190621,729305,"P38",1
"523",12,190621,729305,"P582",1
"524",12,190621,729305,"P599",1
"525",12,190621,729305,"P740",1
"526",12,190621,729305,"P760",1
"527",12,190621,729305,"P769",2
"528",12,190621,729305,"P77",1
"529",12,190621,729305,"P780",1
"530",12,190621,729305,"P809",1
"531",12,190621,729305,"P90",1
"532",12,190621,729305,"P914",1
"533",12,190621,729305,"P95",1
"534",12,190621,729305,"P960",3
"535",12,190621,729305,"Q000",3
"536",12,190621,729305,"Q002",1
"537",12,190621,729305,"Q039",2
"538",12,190621,729305,"Q049",2
"539",12,190621,729305,"Q200",1
"540",12,190621,729305,"Q201",3
"541",12,190621,729305,"Q203",1
"542",12,190621,729305,"Q213",1
"543",12,190621,729305,"Q219",1
"544",12,190621,729305,"Q229",1
"545",12,190621,729305,"Q239",1
"546",12,190621,729305,"Q246",1
"547",12,190621,729305,"Q249",8
"548",12,190621,729305,"Q259",1
"549",12,190621,729305,"Q262",1
"550",12,190621,729305,"Q273",1
"551",12,190621,729305,"Q390",2
"552",12,190621,729305,"Q399",1
"553",12,190621,729305,"Q419",1
"554",12,190621,729305,"Q429",1
"555",12,190621,729305,"Q431",1
"556",12,190621,729305,"Q439",2
"557",12,190621,729305,"Q446",2
"558",12,190621,729305,"Q674",1
"559",12,190621,729305,"Q771",2
"560",12,190621,729305,"Q779",1
"561",12,190621,729305,"Q790",2
"562",12,190621,729305,"Q792",1
"563",12,190621,729305,"Q793",2
"564",12,190621,729305,"Q795",1
"565",12,190621,729305,"Q799",1
"566",12,190621,729305,"Q897",1
"567",12,190621,729305,"Q899",3
"568",12,190621,729305,"Q909",6
"569",12,190621,729305,"Q917",1
"570",12,190621,729305,"R000",1
"571",12,190621,729305,"R090",3
"572",12,190621,729305,"R092",57
"573",12,190621,729305,"R100",2
"574",12,190621,729305,"R54",3
"575",12,190621,729305,"R571",2
"576",12,190621,729305,"R609",2
"577",12,190621,729305,"R64",1
"578",12,190621,729305,"R95",3
"579",12,190621,729305,"R960",28
"580",12,190621,729305,"R961",3
"581",12,190621,729305,"R98",57
"582",12,190621,729305,"R99",161
"583",12,190621,729305,"V021",4
"584",12,190621,729305,"V029",1
"585",12,190621,729305,"V031",8
"586",12,190621,729305,"V134",1
"587",12,190621,729305,"V139",1
"588",12,190621,729305,"V224",3
"589",12,190621,729305,"V234",6
"590",12,190621,729305,"V244",2
"591",12,190621,729305,"V274",3
"592",12,190621,729305,"V284",3
"593",12,190621,729305,"V285",1
"594",12,190621,729305,"V294",1
"595",12,190621,729305,"V299",1
"596",12,190621,729305,"V435",1
"597",12,190621,729305,"V475",1
"598",12,190621,729305,"V485",1
"599",12,190621,729305,"V486",1
"600",12,190621,729305,"V800",2
"601",12,190621,729305,"V877",3
"602",12,190621,729305,"V879",2
"603",12,190621,729305,"V892",3
"604",12,190621,729305,"V899",52
